Location,foods_1,foods_2,foods_3,foods_4,foods_5,foods_6,atmospheres_1,atmospheres_2,atmospheres_3,atmospheres_4,atmospheres_5,atmospheres_6,services_1,services_2,services_3,services_4,services_5,services_6,scenery_1,scenery_2,scenery_3,scenery_4,scenery_5,scenery_6,attractions_1,attractions_2,attractions_3,attractions_4,attractions_5,attractions_6
Notre Dame,offerings,vegetarian,traditional,kosher,halal,sacred,spiritual,serene,reverent,sacred,peaceful,mystical,guided tours,prayer rooms,visitor center,dress code,information,facilities,architecture,gardens,domes,towers,sculptures,decorations,ceremonies,rituals,architecture,history,art,worship
Sagrada Familia,offerings,vegetarian,traditional,kosher,halal,sacred,spiritual,serene,reverent,sacred,peaceful,mystical,guided tours,prayer rooms,visitor center,dress code,information,facilities,architecture,gardens,domes,towers,sculptures,decorations,ceremonies,rituals,architecture,history,art,worship
Salt Lake Temple,offerings,vegetarian,traditional,kosher,halal,sacred,spiritual,serene,reverent,sacred,peaceful,mystical,guided tours,prayer rooms,visitor center,dress code,information,facilities,architecture,gardens,domes,towers,sculptures,decorations,ceremonies,rituals,architecture,history,art,worship
Shwedagon Pagoda,offerings,vegetarian,traditional,kosher,halal,sacred,spiritual,serene,reverent,sacred,peaceful,mystical,guided tours,prayer rooms,visitor center,dress code,information,facilities,architecture,gardens,domes,towers,sculptures,decorations,ceremonies,rituals,architecture,history,art,worship
St. Peter's Basilica,offerings,vegetarian,traditional,kosher,halal,sacred,spiritual,serene,reverent,sacred,peaceful,mystical,guided tours,prayer rooms,visitor center,dress code,information,facilities,architecture,gardens,domes,towers,sculptures,decorations,ceremonies,rituals,architecture,history,art,worship
Vatican City,offerings,vegetarian,traditional,kosher,halal,sacred,spiritual,serene,reverent,sacred,peaceful,mystical,guided tours,prayer rooms,visitor center,dress code,information,facilities,architecture,gardens,domes,towers,sculptures,decorations,ceremonies,rituals,architecture,history,art,worship
Western Wall,offerings,vegetarian,traditional,kosher,halal,sacred,spiritual,serene,reverent,sacred,peaceful,mystical,guided tours,prayer rooms,visitor center,dress code,information,facilities,architecture,gardens,domes,towers,sculptures,decorations,ceremonies,rituals,architecture,history,art,worship
Balboa Park,picnic,food trucks,ice cream,hot dogs,vendors,refreshments,relaxed,lively,family-friendly,outdoor,natural,recreational,restrooms,visitor center,rentals,parking,security,maintenance,trees,gardens,lakes,paths,landscapes,fountains,playgrounds,sports,events,activities,attractions,recreation
Central Park,picnic,food trucks,ice cream,hot dogs,vendors,refreshments,relaxed,lively,family-friendly,outdoor,natural,recreational,restrooms,visitor center,rentals,parking,security,maintenance,trees,gardens,lakes,paths,landscapes,fountains,playgrounds,sports,events,activities,attractions,recreation
Chapultepec Park,picnic,food trucks,ice cream,hot dogs,vendors,refreshments,relaxed,lively,family-friendly,outdoor,natural,recreational,restrooms,visitor center,rentals,parking,security,maintenance,trees,gardens,lakes,paths,landscapes,fountains,playgrounds,sports,events,activities,attractions,recreation
Golden Gate Park,picnic,food trucks,ice cream,hot dogs,vendors,refreshments,relaxed,lively,family-friendly,outdoor,natural,recreational,restrooms,visitor center,rentals,parking,security,maintenance,trees,gardens,lakes,paths,landscapes,fountains,playgrounds,sports,events,activities,attractions,recreation
Griffith Park,picnic,food trucks,ice cream,hot dogs,vendors,refreshments,relaxed,lively,family-friendly,outdoor,natural,recreational,restrooms,visitor center,rentals,parking,security,maintenance,trees,gardens,lakes,paths,landscapes,fountains,playgrounds,sports,events,activities,attractions,recreation
Hyde Park,picnic,food trucks,ice cream,hot dogs,vendors,refreshments,relaxed,lively,family-friendly,outdoor,natural,recreational,restrooms,visitor center,rentals,parking,security,maintenance,trees,gardens,lakes,paths,landscapes,fountains,playgrounds,sports,events,activities,attractions,recreation
Mount Royal Park,picnic,food trucks,ice cream,hot dogs,vendors,refreshments,relaxed,lively,family-friendly,outdoor,natural,recreational,restrooms,visitor center,rentals,parking,security,maintenance,trees,gardens,lakes,paths,landscapes,fountains,playgrounds,sports,events,activities,attractions,recreation
Prospect Park,picnic,food trucks,ice cream,hot dogs,vendors,refreshments,relaxed,lively,family-friendly,outdoor,natural,recreational,restrooms,visitor center,rentals,parking,security,maintenance,trees,gardens,lakes,paths,landscapes,fountains,playgrounds,sports,events,activities,attractions,recreation
Ueno Park,picnic,food trucks,ice cream,hot dogs,vendors,refreshments,relaxed,lively,family-friendly,outdoor,natural,recreational,restrooms,visitor center,rentals,parking,security,maintenance,trees,gardens,lakes,paths,landscapes,fountains,playgrounds,sports,events,activities,attractions,recreation
Yoyogi Park,picnic,food trucks,ice cream,hot dogs,vendors,refreshments,relaxed,lively,family-friendly,outdoor,natural,recreational,restrooms,visitor center,rentals,parking,security,maintenance,trees,gardens,lakes,paths,landscapes,fountains,playgrounds,sports,events,activities,attractions,recreation
Bhaktapur,local cuisine,street food,authentic,traditional,spices,fresh,ancient,mysterious,authentic,timeless,cultural,historic,guided tours,information center,maps,restrooms,security,transportation,ruins,architecture,stones,artifacts,monuments,structures,archaeology,history,culture,architecture,artifacts,ruins
Giza,local cuisine,street food,authentic,traditional,spices,fresh,ancient,mysterious,authentic,timeless,cultural,historic,guided tours,information center,maps,restrooms,security,transportation,ruins,architecture,stones,artifacts,monuments,structures,archaeology,history,culture,architecture,artifacts,ruins
Hoi An,local cuisine,street food,authentic,traditional,spices,fresh,ancient,mysterious,authentic,timeless,cultural,historic,guided tours,information center,maps,restrooms,security,transportation,ruins,architecture,stones,artifacts,monuments,structures,archaeology,history,culture,architecture,artifacts,ruins
Kyoto,local cuisine,street food,authentic,traditional,spices,fresh,ancient,mysterious,authentic,timeless,cultural,historic,guided tours,information center,maps,restrooms,security,transportation,ruins,architecture,stones,artifacts,monuments,structures,archaeology,history,culture,architecture,artifacts,ruins
Luang Prabang,local cuisine,street food,authentic,traditional,spices,fresh,ancient,mysterious,authentic,timeless,cultural,historic,guided tours,information center,maps,restrooms,security,transportation,ruins,architecture,stones,artifacts,monuments,structures,archaeology,history,culture,architecture,artifacts,ruins
Machu Picchu,local cuisine,street food,authentic,traditional,spices,fresh,ancient,mysterious,authentic,timeless,cultural,historic,guided tours,information center,maps,restrooms,security,transportation,ruins,architecture,stones,artifacts,monuments,structures,archaeology,history,culture,architecture,artifacts,ruins
Petra,local cuisine,street food,authentic,traditional,spices,fresh,ancient,mysterious,authentic,timeless,cultural,historic,guided tours,information center,maps,restrooms,security,transportation,ruins,architecture,stones,artifacts,monuments,structures,archaeology,history,culture,architecture,artifacts,ruins
Pompeii,local cuisine,street food,authentic,traditional,spices,fresh,ancient,mysterious,authentic,timeless,cultural,historic,guided tours,information center,maps,restrooms,security,transportation,ruins,architecture,stones,artifacts,monuments,structures,archaeology,history,culture,architecture,artifacts,ruins
Tikal,local cuisine,street food,authentic,traditional,spices,fresh,ancient,mysterious,authentic,timeless,cultural,historic,guided tours,information center,maps,restrooms,security,transportation,ruins,architecture,stones,artifacts,monuments,structures,archaeology,history,culture,architecture,artifacts,ruins
Timbuktu,local cuisine,street food,authentic,traditional,spices,fresh,ancient,mysterious,authentic,timeless,cultural,historic,guided tours,information center,maps,restrooms,security,transportation,ruins,architecture,stones,artifacts,monuments,structures,archaeology,history,culture,architecture,artifacts,ruins
Amazon Rainforest,packed lunch,camping food,local dishes,fresh fish,fruits,organic,pristine,wild,tranquil,untamed,natural,serene,rangers,visitor center,guided tours,camping,boat rental,shuttle,landscapes,wildlife,vegetation,waters,mountains,forests,wildlife,hiking,scenery,adventures,ecology,experiences
Banff National Park,packed lunch,camping food,local dishes,fresh fish,fruits,organic,pristine,wild,tranquil,untamed,natural,serene,rangers,visitor center,guided tours,camping,boat rental,shuttle,landscapes,wildlife,vegetation,waters,mountains,forests,wildlife,hiking,scenery,adventures,ecology,experiences
Everglades,packed lunch,camping food,local dishes,fresh fish,fruits,organic,pristine,wild,tranquil,untamed,natural,serene,rangers,visitor center,guided tours,camping,boat rental,shuttle,landscapes,wildlife,vegetation,waters,mountains,forests,wildlife,hiking,scenery,adventures,ecology,experiences
Galapagos Islands,packed lunch,camping food,local dishes,fresh fish,fruits,organic,pristine,wild,tranquil,untamed,natural,serene,rangers,visitor center,guided tours,camping,boat rental,shuttle,landscapes,wildlife,vegetation,waters,mountains,forests,wildlife,hiking,scenery,adventures,ecology,experiences
Great Barrier Reef,packed lunch,camping food,local dishes,fresh fish,fruits,organic,pristine,wild,tranquil,untamed,natural,serene,rangers,visitor center,guided tours,camping,boat rental,shuttle,landscapes,wildlife,vegetation,waters,mountains,forests,wildlife,hiking,scenery,adventures,ecology,experiences
Kruger National Park,packed lunch,camping food,local dishes,fresh fish,fruits,organic,pristine,wild,tranquil,untamed,natural,serene,rangers,visitor center,guided tours,camping,boat rental,shuttle,landscapes,wildlife,vegetation,waters,mountains,forests,wildlife,hiking,scenery,adventures,ecology,experiences
Serengeti,packed lunch,camping food,local dishes,fresh fish,fruits,organic,pristine,wild,tranquil,untamed,natural,serene,rangers,visitor center,guided tours,camping,boat rental,shuttle,landscapes,wildlife,vegetation,waters,mountains,forests,wildlife,hiking,scenery,adventures,ecology,experiences
Sundarbans,packed lunch,camping food,local dishes,fresh fish,fruits,organic,pristine,wild,tranquil,untamed,natural,serene,rangers,visitor center,guided tours,camping,boat rental,shuttle,landscapes,wildlife,vegetation,waters,mountains,forests,wildlife,hiking,scenery,adventures,ecology,experiences
Yellowstone,packed lunch,camping food,local dishes,fresh fish,fruits,organic,pristine,wild,tranquil,untamed,natural,serene,rangers,visitor center,guided tours,camping,boat rental,shuttle,landscapes,wildlife,vegetation,waters,mountains,forests,wildlife,hiking,scenery,adventures,ecology,experiences
Yosemite,packed lunch,camping food,local dishes,fresh fish,fruits,organic,pristine,wild,tranquil,untamed,natural,serene,rangers,visitor center,guided tours,camping,boat rental,shuttle,landscapes,wildlife,vegetation,waters,mountains,forests,wildlife,hiking,scenery,adventures,ecology,experiences
